sample,Category,IGHV1-14,IGHV1-17,IGHV1-18,IGHV1-2,IGHV1-24,IGHV1-3,IGHV1-45,IGHV1-46,IGHV1-58,IGHV1-67,IGHV1-68,IGHV1-69,IGHV1-69-2,IGHV1-69D,IGHV1-8,IGHV2-10,IGHV2-26,IGHV2-5,IGHV2-70,IGHV3-11,IGHV3-13,IGHV3-15,IGHV3-16,IGHV3-19,IGHV3-20,IGHV3-21,IGHV3-22,IGHV3-23,IGHV3-25,IGHV3-30,IGHV3-33,IGHV3-35,IGHV3-37,IGHV3-38,IGHV3-41,IGHV3-42,IGHV3-43,IGHV3-47,IGHV3-48,IGHV3-49,IGHV3-50,IGHV3-52,IGHV3-53,IGHV3-54,IGHV3-57,IGHV3-6,IGHV3-60,IGHV3-62,IGHV3-64,IGHV3-65,IGHV3-66,IGHV3-7,IGHV3-71,IGHV3-72,IGHV3-73,IGHV3-74,IGHV3-75,IGHV3-76,IGHV3-9,IGHV4-28,IGHV4-30-2,IGHV4-31,IGHV4-34,IGHV4-39,IGHV4-4,IGHV4-55,IGHV4-59,IGHV4-61,IGHV4-80,IGHV5-10-1,IGHV5-51,IGHV5-78,IGHV6-1,IGHV7-27,IGHV7-34-1,IGHV7-4-1,IGHV7-56,IGHV7-81
BW_1__IGH.csv,before,0.0001789549033643,0.0004473872584108,0.0601288475304223,0.009663564781675,0.0121689334287759,0.0455440229062276,0.0008052970651395,0.0435755189692197,0.005637079455977,,,0.0242483894058697,,0.0439334287759484,0.0481388690050107,0.0001789549033643,0.0102899069434502,0.0255010737294201,0.0192376521116678,0.011184681460272,0.0034896206156048,0.0253221188260558,8.947745168217609e-05,0.0002684323550465,0.0023264137437365,0.024427344309234,8.947745168217609e-05,0.0565497494631352,,0.041159627773801,0.0225483178239083,8.947745168217609e-05,,0.0001789549033643,8.947745168217609e-05,,0.0033106657122405,8.947745168217609e-05,0.0146743020758768,0.0076055833929849,,,0.01932712956335,,,,,,0.0015211166785969,,,0.0183428775948461,,0.0015211166785969,0.0025948460987831,0.0133321403006442,,,0.0272906227630637,0.0041159627773801,0.0002684323550465,0.0449176807444524,0.0342698639942734,0.0901037938439513,0.0002684323550465,0.0131531853972798,0.0594130279169649,0.0076055833929849,,,0.0652290622763063,,0.010200429491768,,,0.0233536148890479,,
BW_2__IGH.csv,before,2.6260504201680677e-05,0.0002888655462184,0.052048319327731,0.0349264705882352,0.0061712184873949,0.0202205882352941,0.00015756302521,0.0383928571428571,0.002547268907563,,,0.0421218487394958,0.0063813025210084,0.0014705882352941,0.0216649159663865,0.0001313025210084,0.0015756302521008,0.0555672268907563,0.0043329831932773,0.0060924369747899,0.0033876050420168,0.0196428571428571,5.252100840336135e-05,7.878151260504202e-05,0.005094537815126,0.0275210084033613,,0.050078781512605,,0.0553046218487394,0.0199842436974789,5.252100840336135e-05,,0.000735294117647,7.878151260504202e-05,,0.0039128151260504,,0.0105829831932773,0.0034926470588235,,0.0001050420168067,0.01875,,,,2.6260504201680677e-05,,0.0046218487394957,5.252100840336135e-05,0.0040441176470588,0.0101890756302521,0.0001050420168067,0.003203781512605,0.0022058823529411,0.0160714285714285,,,0.021953781512605,0.0022846638655462,0.00625,0.1272321428571428,0.023923319327731,0.0519432773109243,0.0168067226890756,0.0004726890756302,0.123109243697479,0.0105829831932773,0.0003413865546218,,0.0355042016806722,,0.0120273109243697,,,0.0140493697478991,2.6260504201680677e-05,
BW_5__IGH.csv,before,0.0001285656890317,0.0002249899558055,0.0576295701084773,0.06023302531137,0.0037284049819204,0.0001928485335476,0.0002410606669345,0.0397267979108075,0.0028284451586982,1.6070711128967456e-05,,0.0344234632382482,,0.0213419043792687,0.0290076335877862,0.0003696263559662,0.0048694254720771,0.075034150261149,0.0101084773001205,0.0146725592607472,0.0012053033346725,0.0126315789473684,,1.6070711128967456e-05,0.0044837284049819,0.0176295701084773,4.821213338690237e-05,0.0578384893531538,1.6070711128967456e-05,0.0441783848935315,1.6070711128967456e-05,,,0.0001446364001607,3.214142225793491e-05,,0.0071032543190036,,0.0120208919244676,0.0037605464041783,,3.214142225793491e-05,0.0107191643230212,,,3.214142225793491e-05,,,0.0021534752912816,3.214142225793491e-05,0.0031016472478907,0.0146725592607472,,0.0013499397348332,0.0041301727601446,0.0089835275210928,,,0.0349537967055042,0.0005142627561269,,,0.0461390116512655,0.0976617115307352,0.0592848533547609,3.214142225793491e-05,0.0896906388107673,0.0121815990357573,0.0001446364001607,1.6070711128967456e-05,0.0718682201687424,,0.0051908396946564,,,0.021213338690237,,
BW_8__IGH.csv,before,,0.0001026694045174,0.0344969199178644,0.0035934291581108,0.0022587268993839,0.0299794661190965,,0.0484599589322381,0.0011293634496919,,,0.0066735112936344,,0.077618069815195,0.0035934291581108,,0.0030800821355236,0.0386036960985626,0.0143737166324435,0.0109856262833675,0.0030800821355236,0.0151950718685831,,0.0002053388090349,0.0002053388090349,0.0190965092402464,,0.0718685831622176,,0.0289527720739219,0.0145790554414784,,,0.0017453798767967,0.0001026694045174,,0.0455852156057494,,0.0106776180698151,0.0137577002053388,,,0.0316221765913757,,,,,,0.0098562628336755,0.0001026694045174,0.0034907597535934,0.0164271047227926,0.0002053388090349,0.0022587268993839,0.0037987679671457,0.0388090349075975,,,0.015400410677618,0.0049281314168377,0.0008213552361396,0.0229979466119096,0.018788501026694,0.0684804928131416,0.0008213552361396,0.0147843942505133,0.0897330595482546,0.036652977412731,0.0001026694045174,0.0388090349075975,0.0583162217659137,,0.0086242299794661,,,0.0141683778234086,,
BW_15__IGH.csv,before,3.148565041482344e-05,0.0003305993293556,0.0659152091434328,0.0015113112199115,0.0059193022779868,0.0265424032996961,0.0002991136789408,0.0248579210025031,0.0020150816265487,1.574282520741172e-05,,0.0262275467955479,0.0053525605705199,0.0009445695124447,0.0160419388863525,7.871412603705862e-05,0.0038569921758158,0.0378457517986177,0.0051479038428236,0.0127044599423812,0.0031170793910675,0.0334377607405425,6.297130082964688e-05,0.0001889139024889,0.0012751688418003,0.0238346373640213,1.574282520741172e-05,0.0745895058327167,,0.0659939232694699,0.0256293194376662,9.445695124447034e-05,,0.0005509988822594,6.297130082964688e-05,,0.0060924733552683,1.574282520741172e-05,0.0151288550243226,0.0066592150627351,,1.574282520741172e-05,0.019615560208435,,,6.297130082964688e-05,6.297130082964688e-05,1.574282520741172e-05,0.004628390610979,0.0001416854268667,0.0042820484564159,0.0392940917176996,0.0008028840855779,0.003022622439823,0.0058720738023645,0.032886761858283,,,0.0346342154563057,0.0021725098786228,0.0042348199807937,0.0475905606020056,0.0241967223437918,0.0697879441444561,0.0012751688418003,0.0001889139024889,0.089702618031832,0.0329339903339053,,1.574282520741172e-05,0.0284000566741707,,0.0115552337022402,1.574282520741172e-05,,0.0501566411108137,,4.722847562223517e-05
BW_11__IGH.csv,before,2.7199782401740785e-05,0.0003535971712226,0.0644498844009247,0.0448660410716714,0.0161838705290357,0.0160614715082279,8.159934720522235e-05,0.0413708690330477,0.0079423364613083,6.799945600435197e-05,0.0001223990208078,0.0024343805249558,1.3599891200870393e-05,0.0454916360669114,0.0047871617027063,,0.0027879776961784,0.0192438460492316,0.0222222222222222,0.0096151230790153,0.0023119815041479,0.0169862641098871,,0.0001087991296069,0.004297565619475,0.024547803617571,,0.1008159934720522,,0.0667754657962736,0.0124983000135998,4.0799673602611176e-05,,0.0012375900992792,0.0001223990208078,,0.0011015911872705,,0.0111111111111111,0.0042295661634706,,9.519923840609275e-05,0.0220590235278117,,,1.3599891200870393e-05,8.159934720522235e-05,9.519923840609275e-05,0.0096695226438188,,0.0007751937984496,0.0190126478988168,0.00031279749762,0.0061607507139942,0.0035087719298245,0.016891064871481,1.3599891200870393e-05,,0.0229566163470692,0.0048823609411124,0.0193934448524411,0.0392764857881136,0.0330885352917176,0.0569563443492452,0.0341085271317829,0.0001223990208078,0.0506459948320413,0.0334557323541411,5.439956480348157e-05,0.0179246566027471,0.0371685026519787,4.0799673602611176e-05,0.0111927104583163,,,0.0157078743370053,1.3599891200870393e-05,1.3599891200870393e-05
BW_12__IGH.csv,before,0.0002119670542635,0.0003330910852713,0.0413941375968992,0.0540515988372093,0.0096293604651162,0.0157764050387596,3.0281007751937984e-05,0.0349140019379844,0.0026041666666666,3.0281007751937984e-05,,0.0198946220930232,,0.015594718992248,0.0257085755813953,6.056201550387597e-05,0.0036942829457364,0.0251937984496124,0.0111736918604651,0.0193495639534883,0.0028766957364341,0.0252543604651162,,3.0281007751937984e-05,0.0059956395348837,0.023921996124031,3.0281007751937984e-05,0.0777010658914728,,0.0700702519379845,0.0238311531007751,,,0.0005753391472868,9.084302325581397e-05,,0.0011203972868217,,0.0181383236434108,0.0032703488372093,,3.0281007751937984e-05,0.0279493701550387,,,9.084302325581397e-05,,3.0281007751937984e-05,0.0001816860465116,,0.001423207364341,0.0614704457364341,9.084302325581397e-05,0.0068435077519379,0.0073280038759689,0.0236494670542635,,,0.0346111918604651,0.0041787790697674,0.0077519379844961,0.0427265019379844,0.0290092054263565,0.05859375,0.0282521802325581,0.0154433139534883,0.03609496124031,0.0159580910852713,,,0.0349442829457364,,0.0107800387596899,,,0.020015746124031,,
BW_13__IGH.csv,before,6.906196584885789e-05,0.0003625753207065,0.0560955817607348,0.0021409209413145,0.0054904262849842,0.0328562302525941,5.1796474386643415e-05,0.0263989364457259,0.0011395224365061,3.4530982924428946e-05,3.4530982924428946e-05,0.0329770886928296,0.0039537975448471,0.0012603808767416,0.0191128990486714,3.4530982924428946e-05,0.0039365320533848,0.0280564236260985,0.0064227628239437,0.0096168787444534,0.0036602841899894,0.0262780780054904,,6.906196584885789e-05,0.0013294428425905,0.0213228819558348,1.7265491462214473e-05,0.0886755641499335,,0.0445104369895889,0.028747043284587,,,0.000241716880471,0.0001726549146221,,0.0046271517118734,1.7265491462214473e-05,0.0104110913517153,0.0054558953020597,,5.1796474386643415e-05,0.0225314663581898,,,1.7265491462214473e-05,1.7265491462214473e-05,,0.004592620728949,0.0001035929487732,0.002658885685181,0.0697525855073464,0.0005352302353286,0.0141059065246292,0.0088226661371915,0.0473074466064676,,,0.0301282826015642,0.0007769471157996,0.0024689652790966,0.0424558435055853,0.0306462473454306,0.0838412265405134,0.0023999033132478,0.0001899204060843,0.070684922046306,0.0332015400818384,1.7265491462214473e-05,,0.0229976346276696,,0.0085118872908717,,1.7265491462214473e-05,0.035428788480464,,0.0001553894231599
BW_4__IGH.csv,after,2.0819453697534977e-05,0.000353930712858,0.0735759493670886,0.0311042638241172,0.0117629913391072,0.0164890073284477,0.0010826115922718,0.0328322784810126,0.0033519320453031,2.0819453697534977e-05,,0.0517363424383744,,0.0014990006662225,0.0129705196535642,,0.0024358760826115,0.0157811459027315,0.0143029646902065,0.0093895736175882,0.0025191538974017,0.0127415056628914,,2.0819453697534977e-05,0.0135118254497002,0.0223809127248501,2.0819453697534977e-05,0.0581279147235176,,0.047947201865423,0.0128664223850766,,,0.0001457361758827,8.327781479013991e-05,,0.009847601598934,,0.01047218520986,0.0054755163224516,,2.0819453697534977e-05,0.0136575616255829,,,2.0819453697534977e-05,2.0819453697534977e-05,2.0819453697534977e-05,0.0085359760159893,8.327781479013991e-05,0.0037058627581612,0.009847601598934,8.327781479013991e-05,0.0037891405729513,0.0052256828780812,0.0188832445036642,,,0.0111592271818787,0.0041430712858094,0.0068287808127914,0.0473017988007994,0.0359760159893404,0.1101140906062625,0.0196743837441705,0.0004580279813457,0.0912100266489007,0.0378705862758161,2.0819453697534977e-05,0.026544803464357,0.0448242838107928,,0.011013491005996,,,0.0140739506995336,,2.0819453697534977e-05
BW_17__IGH.csv,after,0.0001031459515214,0.0003610108303249,0.0545126353790613,0.0607013924703455,0.0125322331098504,0.0003094378545642,,0.0221248066013408,0.0024755028365136,5.157297576070139e-05,,0.0158329035585353,,0.0373904074265085,0.0152140278494069,5.157297576070139e-05,0.0033006704486848,0.0375451263537906,0.0156781846312532,0.0127900979886539,0.0060856111397627,0.0135121196493037,,5.157297576070139e-05,0.0009798865394533,0.0243940175348117,0.0001031459515214,0.0484785972150593,,0.0821557503867973,0.020371325425477,5.157297576070139e-05,,0.0022692109334708,,,0.0049510056730273,,0.0130479628674574,0.003610108303249,,,0.0175863847343991,,,,,,0.0042805569881382,0.0001547189272821,0.0002578648788035,0.0211964930376482,0.0001031459515214,0.0022692109334708,0.0033522434244455,0.0114492006188757,,,0.0248066013408973,0.0037648272305312,0.0121196493037648,0.0665291387313048,0.0551315110881897,0.0931923671995874,0.0339865910263022,0.0001031459515214,0.0562145435791645,0.005518308406395,,0.0113460546673543,0.0503867973182052,,0.0151624548736462,5.157297576070139e-05,,,,
