sample,Category,TRAV1-1,TRAV1-2,TRAV10,TRAV12-1,TRAV12-2,TRAV12-3,TRAV13-1,TRAV13-2,TRAV14DV4,TRAV16,TRAV17,TRAV18,TRAV19,TRAV2,TRAV20,TRAV21,TRAV22,TRAV23DV6,TRAV24,TRAV25,TRAV26-1,TRAV26-2,TRAV27,TRAV28,TRAV29DV5,TRAV3,TRAV30,TRAV34,TRAV35,TRAV36DV7,TRAV38-1,TRAV38-2DV8,TRAV39,TRAV4,TRAV40,TRAV41,TRAV5,TRAV6,TRAV7,TRAV8-1,TRAV8-2,TRAV8-3,TRAV8-4,TRAV8-5,TRAV8-6,TRAV9-1,TRAV9-2
BW_15__TRA.csv,before,0.0531870055764492,0.0754117494488393,0.0180586175593308,0.023780962261704,0.0407048372454934,0.0196148359486447,0.0961937491894695,0.0237161198288159,0.0223544287381662,0.0188691479704318,0.0344961742964596,,0.040348203864609,0.0408345221112696,0.0087861496563351,0.0381435611464142,0.0232460121903773,0.0219491635326157,0.0117689015691868,0.012725327454286,0.0245104396316949,0.0149137595642588,0.0154162884191414,,0.0387109324341849,0.0231973803657113,0.0036635974581766,0.0014751653482038,0.0121903773829594,0.0069381403190247,0.0073920373492413,0.0120769031254052,0.0002593697315523,0.0163240824795746,0.0004376864219945,0.0058520295681493,0.0312216314356114,0.0124659577227337,1.621060822202049e-05,0.0098884710154324,0.0161295551809103,0.02695824147322,0.0208792633899623,,0.0154973414602515,4.863182466606147e-05,0.059347036700817
BW_1__TRA.csv,before,0.0091834072528045,0.0213931646230106,0.0235846595356117,0.0224367336290112,0.0550482650665275,0.0302635011740151,0.0614401252282807,0.0245238716410122,0.0230889642577615,0.0137751108792068,0.068014609966084,,0.1297938951213149,0.0253587268458126,0.0224628228541612,0.0309418210279154,0.014088181581007,0.0036524915210018,0.0074354291677537,0.0163579441690581,0.0402817636316201,0.0113749021654056,0.0153404643882076,,0.0289329506913644,0.0142968953822071,0.0050091312288025,0.0036264022958518,0.018184189929559,0.0090268719019045,0.010148708583355,0.018027654578659,0.0002869814766501,0.0213931646230106,0.0007044090790503,0.0093660318288546,0.0248108531176624,0.0124184711714062,,0.0266892773284633,0.0128880772241064,0.0269762588051134,0.0285155230889642,,0.0128880772241064,5.217845030002609e-05,0.0459170362640229
BW_2__TRA.csv,before,0.0125739029061537,0.0233158464484969,0.0136564243484053,0.0216087934049462,0.0629944208510284,0.0442584728120576,0.0703222583062703,0.0254808893330002,0.0313098509451244,0.0134482471479723,0.0921808643517362,,0.050170705304355,0.0234407527687567,0.0129486218669331,0.0426346906486801,0.0197351986010492,0.0365559163960363,0.0125322674660671,0.0240236489299691,0.0478807560995919,0.0079523690565409,0.0165709051544674,,0.0240652843700557,0.0136564243484053,0.0064534932134232,0.002289949204763,0.0156132900324756,0.0104921309018236,0.0126988092264135,0.0186943125988841,0.0005828961612124,0.0141976850695311,0.0011241568823382,0.01494712299109,0.01494712299109,0.0144891331501373,8.327088017320343e-05,0.0159463735531684,0.0114081105837288,0.0307685902239986,0.019651927720876,,0.0170705304355067,0.0001249063202598,0.0350986759930052
BW_5__TRA.csv,before,0.0115689558905639,0.0290563930764935,0.0155220547180346,0.0226018983807928,0.0630262423227247,0.0255276381909547,0.0720268006700167,0.025393634840871,0.020502512562814,0.0125069793411501,0.075287548855388,,0.053109994416527,0.0225125628140703,0.0123283082077051,0.034751535455053,0.012216638749302,0.0305750977107761,0.0160580681183696,0.0169067560022333,0.0548073701842546,0.0089112227805695,0.0171524288107202,,0.0233165829145728,0.0188274706867671,0.004109436069235,0.0023897264098269,0.0132663316582914,0.0085985482970407,0.0069905080960357,0.0121943048576214,0.0002903405918481,0.0187381351200446,0.0003350083752093,0.0068341708542713,0.0225795644891122,0.0206141820212171,,0.0299720826353992,0.0175767727526521,0.0362479061976549,0.0273813512004466,,0.0239195979899497,0.0001563372417643,0.0533109994416527
BW_8__TRA.csv,before,0.1056893830210692,0.0791984077963077,0.0104316793631185,0.1091208564957792,0.0643744423855603,0.0274517877976803,0.0445405257017363,0.0109807151190721,0.0351382883810308,0.0227849838720746,0.0160592958616429,,0.071786425090934,0.0273145288586919,0.003774620822181,0.0465307803170681,0.0049413218035824,0.0084414247477867,0.0081669068698098,0.0028824377187564,0.021549653421179,0.0014412188593782,0.0189417335803994,,0.0156475190446777,0.0309518907418845,0.0181868094159632,0.000343147347471,0.0096081257291881,0.0039118797611694,0.0061080227849838,0.0098826436071649,6.862946949420081e-05,0.0180495504769748,0.0001372589389884,0.0047354333950998,0.020520211378766,0.0137258938988401,,0.0076178711138562,0.0166083316175965,0.0120101571614851,0.0115983803445199,,0.0072747237663852,,0.0514721021206506
BW_11__TRA.csv,before,0.0266641496967837,0.0315014511904481,0.0133556714410439,0.0342150593454305,0.0544845324335166,0.0368578777224568,0.0603600840038698,0.024682035914014,0.0306047806696713,0.02019868331013,0.0486561740484674,,0.0719224144033601,0.0329172467495693,0.0129073361806555,0.0603600840038698,0.0130961089218716,0.0031855400080228,0.0173434955992354,0.0121522452157908,0.0337431274923901,0.012388211142311,0.0196795582717855,,0.0230538710210245,0.0234786096887609,0.0042709832700158,0.00233606267255,0.0105712735081054,0.0103353075815852,0.0026428183770263,0.0121522452157908,0.0002359659265202,0.0289294225913778,0.0006371080016045,0.0060407277189173,0.0173906887845395,0.0122938247717029,,0.0165884046343707,0.0153377852238136,0.0329880365275254,0.0242101040609735,,0.0204110526439982,9.43863706080842e-05,0.0647254536444937
BW_12__TRA.csv,before,0.0135843696640928,0.0263376599827739,0.0160927182338808,0.027833602804515,0.0540050469182066,0.0435938893002311,0.0646428625394762,0.0215778419135979,0.0312183623203735,0.0182837455990571,0.0404055667205609,,0.0166215869082337,0.0366732649329847,0.0159265023647985,0.0603514710104413,0.0147176596805633,0.0276824974689856,0.0095498572054579,0.0127986219193399,0.0445458529140663,0.0079783617159521,0.0225751371280919,,0.0245092854228682,0.0172411187839042,0.0066486347632934,0.0016923797579292,0.0136145907311987,0.0107284788225872,0.0074192719744934,0.0206712099004215,0.0002871001375058,0.0252799226340682,0.0009066320131763,0.0080690249172698,0.0158811707641396,0.0159567234319043,6.044213421175902e-05,0.0231795584702095,0.0221369316550567,0.0285286873479502,0.0357515223862554,,0.0175131083878571,0.0001208842684235,0.0768068420495927
BW_13__TRA.csv,before,0.051310592459605,0.0726750448833034,0.0147935368043087,0.0214003590664272,0.0410053859964093,0.0191382405745062,0.0832675044883303,0.0235188509874326,0.0249551166965888,0.0183482944344703,0.0318850987432675,,0.0312028725314183,0.0388150807899461,0.0116337522441651,0.0429802513464991,0.0175583482944344,0.025278276481149,0.0140394973070017,0.0118491921005386,0.0236624775583482,0.0132495511669658,0.0172710951526032,,0.0311310592459605,0.0291202872531418,0.0051705565529622,0.0015439856373429,0.0121723518850987,0.0087971274685816,0.0078635547576301,0.013931777378815,0.0001436265709156,0.0136445242369838,0.000718132854578,0.0062118491921005,0.0307360861759425,0.0179174147217235,,0.0112387791741472,0.0191741472172351,0.0332495511669658,0.0247396768402154,,0.0163016157989228,7.181328545780969e-05,0.0662836624775583
BW_4__TRA.csv,after,0.0106525306070932,0.0274895872775463,0.0152215070049223,0.0207244730531364,0.0739366401615549,0.0305187429004165,0.0695948504354411,0.0330935251798561,0.0355420926416761,0.0115865202574782,0.0625015776852202,2.524296352391771e-05,0.0632588665909377,0.0185535781900795,0.0164079262905465,0.0351886911523412,0.016862299633977,0.0298624258487946,0.020522529344945,0.0176448315032184,0.0356935504228196,0.0154739366401615,0.0227439101350498,,0.0280449324750725,0.0182001767007446,0.0049981067777357,0.0019941941183894,0.0144389751356809,0.0103243720812823,0.0095670831755648,0.0157263662754007,0.0002019437081913,0.0142875173545374,0.0004543733434305,0.0091379527956582,0.017468130758551,0.0129243973242458,,0.0218604064117127,0.0122175943455761,0.0250157768522024,0.0261517102107787,,0.0199924271109428,0.0001009718540956,0.0537927552694686
BW_17__TRA.csv,after,0.0071265857175698,0.0226963990888001,0.014232272356789,0.0227799954022027,0.0417145603878868,0.0323726723651486,0.07682501201697,0.0299692783548245,0.040000835963134,0.0175343267361909,0.0419862484064452,2.0899078350644736e-05,0.0178687119898012,0.0224456101485924,0.0143994649835942,0.0507220631570147,0.0142740705134903,0.0169700516207235,0.011055612447491,0.0234487659094233,0.0226755000104495,8.359631340257894e-05,0.0240757382599427,,0.0428013124621204,0.0183911889485673,0.005705448389726,0.0017764216598048,0.0198123262764112,0.008882108299024,0.0136261990846203,0.0315785073878241,0.000585174193818,0.0424251290518088,0.0011076511525841,0.01393968525988,0.0192062530042425,0.0159668958598925,8.359631340257894e-05,0.0188509686722815,0.0148174465506071,0.0353194424125896,0.0341490940249535,,0.0255386737444878,0.0001462935484545,0.0700119124746598
